,Accuracy,Precision,Recall,F1 Score
Logistic Regression (Balanced),0.9646169961923118,0.9635241423168263,0.9646169961923118,0.9625080106114118
Random Forest (Balanced),0.9995530031221798,0.9995535291140084,0.9995530031221798,0.9995531790871675
Logistic Regression (Unbalanced),0.9976915170165749,0.9988597667480119,0.9976915170165749,0.9981570908894449
Random Forest (Unbalanced),0.9995662164328531,0.9995457190647714,0.9995662164328531,0.9995383469592526
