Modèle,Accuracy,Precision,Recall,F1 Score
Random Forest (Équilibré) avec Hyperparamètres,0.9826781628145054,0.982445133024104,0.9826781628145054,0.9822408216883186
Random Forest (Équilibré) sans Hyperparamètres,0.999549037370412,0.9995495822797266,0.999549037370412,0.9995492188626971
Logistic Regression (Équilibré),0.9646169961923118,0.9635241423168263,0.9646169961923118,0.9625080106114118
Random Forest (Non Équilibré) avec Hyperparamètres,0.9994360813627091,0.9994233865243711,0.9994360813627091,0.9993639623063675
Random Forest (Non Équilibré) sans Hyperparamètres,0.9995655877610167,0.9995451072193551,0.9995655877610167,0.9995374757789567
Logistic Regression (Non Équilibré) ,0.9976915170165749,0.9988597667480119,0.9976915170165749,0.9981570908894449
